OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
237709931,90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,YES,NO,,,NO,3,5,394085.43254774,138732.70732736,,DC
237709932,91,13th St & New York Ave NW,31227,38.900283,-77.029822,YES,NO,,,NO,13,8,397413.13477499,136937.13928906,,DC
237709933,92,8th & H St NW,31228,38.8997,-77.023086,YES,NO,,,NO,28,2,397997.42273853,136872.25229554,,DC
237709934,93,10th & Monroe St NE,31504,38.932514,-76.992889,YES,NO,,,NO,1,10,400616.55446976,140514.65083001,,DC
237709935,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,YES,NO,,,NO,9,13,399570.68391328,138123.29427771,,DC
237709936,95,6th & H St NE,31615,38.899972,-76.998347,YES,NO,,,NO,22,1,400143.38766466,136902.19455674,,DC
237709937,96,3rd & H St NE,31616,38.900412,-77.001949,YES,NO,,,NO,14,3,399830.93718412,136951.03859198,,DC
237709938,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,YES,NO,,,NO,8,6,401485.74030431,136951.28717624,,DC
237709939,98,4th & East Capitol St NE,31618,38.889955,-77.000349,YES,NO,,,NO,3,8,399969.72212823,135790.22701798,,DC
237709940,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,YES,NO,,,NO,3,22,401010.26737857,135846.46135466,,DC
237709941,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,YES,NO,,,NO,6,5,403479.93073282,133487.02816607,,DC
237709942,101,13th & D St NE,31622,38.894832,-76.987633,YES,NO,,,NO,4,26,401072.83909032,136331.6849909,,DC
237709943,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,YES,NO,,,NO,3,19,396688.84082399,138631.06089313,,DC
237709944,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,YES,NO,,,NO,14,24,397582.47982913,136724.06141167,,DC
